gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000015807_Pyroxd2	25.82	6.20	115.39	124.69	23.79
ENSRNOG00000037185_AABR07058514.1	0.61	0.00	0.00	0.60	0.51
ENSRNOG00000052094_AABR07021392.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000003233_Serpinf2	0.28	0.00	13.05	2.86	1.81
ENSRNOG00000005278_Trhde	0.03	0.03	0.01	0.07	0.13
ENSRNOG00000028930_Dab2	155.17	25.11	58.55	31.61	111.29
ENSRNOG00000003401_AABR07029195.1	0.12	0.58	0.32	0.13	0.26
ENSRNOG00000060609_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060084_AC096035.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042424_Olr880	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046569_AABR07037477.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029340_Btnl8	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060542_Mid2	2.15	1.16	0.59	1.01	2.05
ENSRNOG00000057932_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054475_AABR07068007.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000022141_Ctdspl2	4.26	2.60	4.06	6.43	3.42
ENSRNOG00000015852_Arhgap35	6.83	2.53	5.19	5.31	9.27
ENSRNOG00000061080_Kmt2c	7.69	0.85	2.98	4.74	8.26
ENSRNOG00000036370_AABR07016769.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000001139_Suds3	6.30	7.04	2.91	2.99	11.44
ENSRNOG00000047226_AABR07017656.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013654_Cbln2	0.00	0.08	0.00	0.09	0.03
ENSRNOG00000032097_AABR07008025.1	0.00	0.00	0.00	0.44	0.00
ENSRNOG00000052827_AABR07052085.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000028403_Ptcd2	16.51	10.61	18.49	19.31	11.50
ENSRNOG00000052644_AABR07001060.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054228_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000008607_U2surp	18.39	8.06	12.90	16.05	18.65
ENSRNOG00000057356_AABR07072112.1	0.00	0.00	0.00	0.00	0.11
ENSRNOG00000006010_Slc6a20	16.16	0.92	7.30	2.06	10.42
ENSRNOG00000029054_Olr1128	0.00	0.86	0.00	0.00	0.00
ENSRNOG00000052360_LOC103694879	0.00	0.85	0.00	0.82	0.00
ENSRNOG00000058733_Asap1	0.32	0.04	1.55	1.83	1.32
ENSRNOG00000032771_AABR07064811.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018877_Zfp629	6.78	2.00	8.96	13.14	7.46
ENSRNOG00000056632_AABR07030568.6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016322_Camk2n1	0.00	5.79	1.62	1.35	6.83
ENSRNOG00000056615_AABR07063640.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006697_Pip4p2	70.94	33.56	26.79	28.95	56.66
ENSRNOG00000039214_Map11	1.12	0.48	0.57	0.43	1.71
ENSRNOG00000028161_Tepsin	8.32	3.31	4.96	7.69	7.29
ENSRNOG00000004104_Zkscan7	0.81	0.70	0.64	0.91	1.72
ENSRNOG00000059322_N4bp2l1	1.31	0.87	1.03	0.89	0.66
ENSRNOG00000057920_AABR07006656.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002524_Gpr37	6.60	2.18	0.41	0.27	5.14
ENSRNOG00000048904_AABR07004232.1	0.30	1.33	0.48	2.71	1.73
ENSRNOG00000007763_Plod1	2.00	0.38	3.00	5.71	2.04
ENSRNOG00000009291_Dnase1l3	0.15	0.00	0.00	0.00	0.12
ENSRNOG00000057627_U2	0.00	7.57	0.00	0.00	0.00
ENSRNOG00000056432_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014908_Sf3b5	190.25	212.11	169.49	198.26	178.21
ENSRNOG00000015160_Gem	0.67	0.53	4.34	4.63	0.87
ENSRNOG00000055743_U3	67.17	196.88	50.42	22.46	121.46
ENSRNOG00000014004_Ncoa7	6.09	1.29	7.37	4.69	7.62
ENSRNOG00000001349_Mcm7	12.49	3.06	12.74	18.09	18.61
ENSRNOG00000032300_Rpl39l	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050235_Olr1436	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059900_Bst2	0.82	1.40	5.07	1.75	1.48
ENSRNOG00000051339_AABR07039328.3	1.35	0.19	0.36	0.59	0.30
ENSRNOG00000017074_Rab28	140.80	67.04	102.66	116.85	119.99
ENSRNOG00000033402_Gsta6	5.88	4.71	13.90	10.03	5.01
