gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000055743_U3	25.32	313.41	74.70	129.23	57.99
ENSRNOG00000014004_Ncoa7	5.29	2.05	6.77	8.10	8.47
ENSRNOG00000001349_Mcm7	20.40	4.87	13.89	19.80	14.65
ENSRNOG00000032300_Rpl39l	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050235_Olr1436	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059900_Bst2	1.97	2.22	0.91	1.58	5.83
ENSRNOG00000051339_AABR07039328.3	0.67	0.30	1.50	0.32	0.42
ENSRNOG00000017074_Rab28	131.77	106.71	156.58	127.66	118.07
ENSRNOG00000033402_Gsta6	11.31	7.49	6.53	5.33	15.98
ENSRNOG00000052337_7SK	0.00	0.00	0.00	0.00	1.46
ENSRNOG00000037206_Ccdc77	8.72	8.84	8.88	2.00	11.83
ENSRNOG00000018202_Spata31a5	0.02	0.00	0.02	0.24	0.05
ENSRNOG00000014992_M6pr	91.79	36.32	107.53	99.06	104.55
ENSRNOG00000052474_AABR07070714.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056710_AABR07024381.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020374_Tmem8a	8.27	6.27	13.26	28.13	13.27
ENSRNOG00000058703_AABR07037176.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016818_Fgfr3	0.12	0.11	2.79	1.51	0.27
ENSRNOG00000051182_AABR07072158.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046401_AABR07065886.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018097_Emc1	5.81	3.25	8.88	6.29	5.61
ENSRNOG00000015708_E2f4	4.89	7.95	14.45	29.18	4.11
ENSRNOG00000057757_AABR07058501.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014829_Prmt3	2.38	1.98	3.47	6.41	1.34
ENSRNOG00000047324_LOC100912432	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054656_AABR07061458.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029726_Gstm1	201.57	190.18	98.59	92.42	119.16
ENSRNOG00000048407_LOC100912070	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000026754_Usp47	16.26	6.44	23.13	16.67	14.48
ENSRNOG00000020495_Eif3k	120.46	276.06	107.94	105.21	86.12
ENSRNOG00000046567_AABR07017676.1	0.00	0.00	0.00	1.03	0.00
ENSRNOG00000003846_Pitpna	9.79	50.57	59.98	128.19	8.79
ENSRNOG00000041381_Mir208b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049606_AABR07025900.1	0.38	0.00	0.00	0.62	0.43
ENSRNOG00000011517_Tnfrsf21	14.80	6.31	17.13	29.31	12.49
ENSRNOG00000012482_Ndrg4	40.78	0.10	1.44	1.40	20.53
ENSRNOG00000057900_U1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019807_Sufu	2.58	1.50	5.08	4.19	1.52
ENSRNOG00000052635_SNORA62	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029416_AC109942.1	3.39	0.12	2.23	0.95	1.07
ENSRNOG00000023317_Colgalt1	2.55	3.80	6.86	10.25	1.42
ENSRNOG00000036397_AABR07027722.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020110_B4gat1	14.75	6.86	37.38	33.24	11.08
ENSRNOG00000041199_Mir878	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012379_Wdr18	55.87	63.58	62.02	68.82	42.54
ENSRNOG00000008604_Nsfl1c	123.74	71.63	150.64	112.37	90.30
ENSRNOG00000040715_5S_rRNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012329_Saraf	64.66	96.18	324.92	308.84	49.32
ENSRNOG00000060153_Spry3	0.00	0.00	0.00	0.14	0.00
ENSRNOG00000004806_Strn	0.36	0.00	2.53	2.78	0.65
ENSRNOG00000061681_AABR07056526.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021910_Nkx2-6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000030191_Olr1055	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057620_Slc6a8	6.51	2.57	1.75	2.78	12.16
ENSRNOG00000055015_AABR07015559.1	0.00	0.00	0.00	0.12	0.05
ENSRNOG00000061915_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009735_Fibcd1	0.04	0.00	0.00	0.04	0.00
ENSRNOG00000035648_Mir211	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007332_Sstr3	0.02	0.22	0.00	0.06	0.00
ENSRNOG00000055774_AABR07040285.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020066_Pcdhb11	1.91	0.00	0.03	0.00	0.70
ENSRNOG00000030431_RT1-Db2	0.52	0.12	0.46	0.00	1.18
ENSRNOG00000015293_Tcte3	0.00	0.00	0.00	1.31	0.00
ENSRNOG00000010011_Osbpl3	8.29	1.14	4.20	4.32	11.11
ENSRNOG00000030091_Dusp14	46.31	26.28	36.72	20.34	64.41
ENSRNOG00000046260_LOC688320	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017621_Spns1	15.33	3.31	14.52	20.35	16.67
ENSRNOG00000022249_Mllt10	2.75	1.20	2.80	4.08	2.74
ENSRNOG00000000841_Ddx39b	57.49	37.70	70.91	78.41	47.16
ENSRNOG00000058588_Nfxl1	0.84	0.94	6.40	4.76	1.07
ENSRNOG00000013300_Atp5if1	2053.12	4101.87	2139.74	1698.73	1592.10
ENSRNOG00000019918_Coasy	41.32	11.82	33.65	34.65	39.94
ENSRNOG00000001862_Ube2l3	136.34	107.37	133.50	126.33	114.19
ENSRNOG00000017443_Tmem87b	19.66	11.26	32.73	24.67	21.57
ENSRNOG00000009870_Tmem88	4.64	4.74	3.31	3.21	9.24
ENSRNOG00000011856_LOC108348154	0.14	0.39	1.51	1.62	0.23
ENSRNOG00000005918_RGD1563941	22.34	49.99	19.05	16.37	19.00
ENSRNOG00000051873_AABR07012762.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055207_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043215_Rtbdn	0.00	0.00	0.10	0.28	0.10
ENSRNOG00000060714_AABR07007744.2	0.00	0.00	0.00	0.37	0.00
ENSRNOG00000023094_RGD1561661	0.00	0.00	0.00	0.00	0.11
ENSRNOG00000046347_Olr1370	0.11	0.21	0.00	0.33	0.00
ENSRNOG00000062136_AABR07006625.2	1.46	1.27	0.79	0.79	0.00
ENSRNOG00000020133_LOC108348044	0.00	0.00	0.00	0.00	0.11
ENSRNOG00000014713_Csgalnact2	2.57	3.56	11.04	10.03	3.52
ENSRNOG00000006804_Ppp1r42	0.92	0.69	0.66	0.09	0.93
ENSRNOG00000057250_AABR07001905.1	9.27	7.17	16.04	11.60	8.00
ENSRNOG00000051235_C2	1.86	0.08	1.26	0.56	3.32
ENSRNOG00000056705_Taar8b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050905_Olr1382	0.22	0.00	0.00	0.00	0.00
ENSRNOG00000031855_Actr3b	0.00	0.00	0.15	0.67	0.00
ENSRNOG00000029512_LOC100361854	203.40	732.66	211.18	229.59	237.22
ENSRNOG00000020726_Sipa1	0.81	0.27	0.59	1.05	0.70
ENSRNOG00000059168_LOC102550392	0.78	0.82	0.09	0.00	0.00
ENSRNOG00000032729_Bex2	15.13	60.94	30.36	15.53	5.85
ENSRNOG00000022364_Dsg4	0.24	0.60	0.00	0.34	0.00
ENSRNOG00000059783_AABR07049631.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007415_Ptgs1	1.69	10.76	105.27	68.48	2.40
ENSRNOG00000019000_Limk2	14.13	1.86	9.09	7.00	12.50
ENSRNOG00000033980_Wfdc11	0.00	0.94	0.14	0.30	0.00
ENSRNOG00000055840_AABR07063553.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055737	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050264_AABR07035357.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050494_LOC100910567	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010522_Tlr4	0.62	0.00	0.49	0.11	1.00
ENSRNOG00000052385_AABR07031247.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056762_AABR07016058.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049893_LOC100910934	0.00	0.19	0.00	0.49	0.00
ENSRNOG00000049058_AABR07003935.9	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000045980_Klk1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007597_Rhpn1	11.58	0.73	4.25	2.02	14.04
ENSRNOG00000014907_Aldh8a1	28.31	2.22	2.49	4.91	37.32
ENSRNOG00000062078_AABR07006625.1	0.00	0.67	0.00	2.06	0.00
ENSRNOG00000031739_Fam71e1	2.20	5.18	4.16	1.58	1.42
ENSRNOG00000056416_AABR07009910.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043293_Dppa1	0.12	0.11	0.00	0.12	0.00
ENSRNOG00000039640_Defb17	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015695_Sult5a1	0.16	2.52	1.34	0.78	1.12
ENSRNOG00000046577_AABR07002409.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014142_Ogfrl1	0.44	0.42	0.13	0.34	0.61
ENSRNOG00000035540_Mir106b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061392_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055197_AABR07027872.1	0.15	0.00	0.53	0.07	0.25
ENSRNOG00000004398_Pkhd1l1	0.01	0.00	0.02	0.01	0.00
ENSRNOG00000031823_Wfdc6b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005271_Rapgef5	0.71	1.24	6.87	4.19	1.17
ENSRNOG00000006997_App	225.55	271.02	777.72	458.74	212.98
ENSRNOG00000004747_Slc30a8	0.17	0.00	0.00	0.00	0.07
ENSRNOG00000027264_Dagla	0.13	0.04	0.02	0.09	0.09
ENSRNOG00000017826_Mtrr	23.54	3.20	19.79	19.19	19.99
ENSRNOG00000050690_Nr2e3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042068_Otud7b	1.86	0.90	2.02	1.54	1.13
ENSRNOG00000059448_Vom1r84	0.00	0.00	0.00	0.11	0.00
ENSRNOG00000053767_AABR07008014.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004221_Lgr5	0.00	0.00	0.00	0.00	0.08
ENSRNOG00000017194_Prdx1	1455.99	4171.16	2124.18	2077.90	1193.20
ENSRNOG00000002833_Gsk3b	3.29	2.71	9.31	23.76	2.51
ENSRNOG00000016948_Nhlrc2	3.09	0.64	5.88	3.73	2.01
ENSRNOG00000020952_Cgn	7.64	1.43	8.14	6.11	8.36
ENSRNOG00000051579_AABR07070129.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057428_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009236_Necap1	24.52	16.28	32.93	37.34	24.13
ENSRNOG00000030363_Psma8	0.16	0.67	0.00	0.00	0.16
ENSRNOG00000002664_Emp2	3.06	0.21	0.23	0.48	4.21
ENSRNOG00000049096_Mcpt8l2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000011921_Dusp4	0.02	0.04	0.00	0.00	0.02
