gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000012812_Sharpin	730.00	682.00	955.00	1196.00	570.00
ENSRNOG00000053053_AABR07032759.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051846_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005107_Recql5	232.00	109.00	298.00	185.00	269.00
ENSRNOG00000043344_Cyp4f40	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052213_AABR07063940.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012419_Zscan29	41.00	5.00	13.00	14.00	38.00
ENSRNOG00000062261_AC111804.2	0.00	4.00	0.00	0.00	0.00
ENSRNOG00000018271_Scamp4	1421.00	721.00	2006.00	1669.00	1294.00
ENSRNOG00000059920_AC135285.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051421_AABR07031604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046769_Mms19	490.00	88.00	635.00	487.00	589.00
ENSRNOG00000020982_LOC687780	1036.15	3867.51	1313.09	1277.35	1308.52
ENSRNOG00000012962_Nudt16	191.00	402.00	799.00	662.00	138.00
ENSRNOG00000051161_AABR07039195.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000058787_AABR07017649.2	5.00	58.88	1.00	17.70	0.00
ENSRNOG00000058628_Vom1r96	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016379_Jtb	1295.86	1616.52	1877.73	1589.49	1600.96
ENSRNOG00000042355_Tarbp2	544.00	471.00	629.00	596.00	508.00
ENSRNOG00000051417_AABR07031612.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012378_Dbnl	1350.00	343.00	1579.00	1011.00	1303.00
ENSRNOG00000031208_Mgat1	454.00	264.00	896.00	780.00	618.00
ENSRNOG00000010552_Lamtor3	1187.00	1898.00	1397.00	1074.00	1208.00
ENSRNOG00000048858_Olr1387	0.00	13.00	0.00	3.00	0.00
ENSRNOG00000059509_AC113837.7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023226_S100a10	1519.00	3206.00	1244.00	989.00	1713.00
ENSRNOG00000023633_Crabp1	31.00	13.00	1.00	4.00	12.00
ENSRNOG00000062077_AABR07049773.1	1.21	0.00	2.06	0.00	0.00
ENSRNOG00000030954_Fat1	574.00	334.00	503.00	570.00	828.00
ENSRNOG00000007084_Marchf10	3.00	40.00	20.00	15.00	0.00
ENSRNOG00000057129_AABR07049033.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056377_SNORD42	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021134_Anxa9	1.00	95.00	350.00	279.00	2.00
ENSRNOG00000053802_AABR07058899.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000053918_SNORD116	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010363_Mrps23	1319.00	2596.00	1241.00	1059.00	1690.00
ENSRNOG00000051236_AABR07038801.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059585_LOC103692343	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017843_Polr3k	1245.00	1755.00	1408.00	1294.00	1186.00
ENSRNOG00000004647_Il10	0.00	0.00	0.00	0.00	2.00
ENSRNOG00000046681_AABR07017769.1	1.50	5.79	0.00	2.50	0.00
