gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000014992_M6pr	3512.76	1105.00	3633.06	2683.88	2884.35
ENSRNOG00000052474_AABR07070714.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056710_AABR07024381.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020374_Tmem8a	699.00	306.00	743.00	390.00	1314.00
ENSRNOG00000058703_AABR07037176.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016818_Fgfr3	125.00	5.00	14.00	5.00	61.00
ENSRNOG00000051182_AABR07072158.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046401_AABR07065886.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018097_Emc1	907.00	306.00	608.00	531.00	566.88
ENSRNOG00000015708_E2f4	409.00	210.00	124.00	124.00	738.00
ENSRNOG00000057757_AABR07058501.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014829_Prmt3	125.00	66.00	51.00	77.00	206.00
ENSRNOG00000047324_LOC100912432	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054656_AABR07061458.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029726_Gstm1	1276.06	2343.00	1648.24	2337.00	1089.99
ENSRNOG00000048407_LOC100912070	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000026754_Usp47	1984.00	537.00	1312.00	1277.00	1322.00
ENSRNOG00000020495_Eif3k	854.00	2385.00	747.00	765.00	870.00
ENSRNOG00000046567_AABR07017676.1	0.00	0.00	0.00	0.00	1.00
ENSRNOG00000003846_Pitpna	978.00	956.00	184.00	160.00	1896.00
ENSRNOG00000041381_Mir208b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049606_AABR07025900.1	0.00	0.00	4.00	3.00	5.00
ENSRNOG00000011517_Tnfrsf21	1164.00	396.00	901.00	900.00	1761.00
ENSRNOG00000012482_Ndrg4	62.00	4.00	939.00	1564.00	53.00
ENSRNOG00000057900_U1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019807_Sufu	119.00	33.00	38.00	54.00	88.00
ENSRNOG00000052635_SNORA62	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029416_AC109942.1	39.00	2.00	20.00	53.00	15.00
ENSRNOG00000023317_Colgalt1	310.10	159.04	68.00	103.00	411.00
ENSRNOG00000036397_AABR07027722.1	0.50	0.00	0.31	0.05	0.00
ENSRNOG00000020110_B4gat1	1033.00	177.00	326.00	365.00	821.00
ENSRNOG00000041199_Mir878	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012379_Wdr18	982.00	1010.00	713.00	827.00	1021.00
ENSRNOG00000008604_Nsfl1c	2517.00	1130.00	1617.00	1844.00	1699.00
ENSRNOG00000040715_5S_rRNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012329_Saraf	8454.00	2339.00	1366.00	1506.00	7189.00
ENSRNOG00000060153_Spry3	0.00	0.00	0.00	0.00	6.00
ENSRNOG00000004806_Strn	117.00	0.00	32.00	15.00	114.00
ENSRNOG00000061681_AABR07056526.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021910_Nkx2-6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000030191_Olr1055	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057620_Slc6a8	106.00	144.00	782.00	353.00	149.00
ENSRNOG00000055015_AABR07015559.1	0.00	0.00	1.00	0.00	2.00
ENSRNOG00000061915_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009735_Fibcd1	0.00	0.00	0.00	2.00	2.00
ENSRNOG00000035648_Mir211	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007332_Sstr3	0.00	12.00	0.00	1.00	3.00
ENSRNOG00000055774_AABR07040285.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020066_Pcdhb11	1.00	0.00	25.00	57.00	0.00
ENSRNOG00000030431_RT1-Db2	4.00	1.00	11.00	4.00	0.00
ENSRNOG00000015293_Tcte3	0.00	0.00	0.00	0.00	4.00
ENSRNOG00000010011_Osbpl3	462.00	116.00	1299.00	817.00	420.00
ENSRNOG00000030091_Dusp14	621.00	422.00	1158.00	703.56	311.00
ENSRNOG00000046260_LOC688320	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017621_Spns1	452.00	96.00	552.00	427.00	565.00
ENSRNOG00000022249_Mllt10	123.00	49.00	128.00	108.00	159.00
ENSRNOG00000000841_Ddx39b	1607.00	805.00	1140.00	1170.00	1588.00
ENSRNOG00000058588_Nfxl1	356.00	49.00	64.00	41.00	236.00
ENSRNOG00000013300_Atp5if1	6238.00	12633.00	5074.00	5396.00	5075.00
ENSRNOG00000019918_Coasy	958.00	314.00	1210.00	1053.00	881.00
ENSRNOG00000001862_Ube2l3	5167.00	3861.00	4699.00	4723.00	4348.00
ENSRNOG00000017443_Tmem87b	2372.00	754.00	1660.00	1275.00	1581.00
ENSRNOG00000009870_Tmem88	68.29	91.66	202.96	85.68	59.46
ENSRNOG00000011856_LOC108348154	12.00	3.00	2.00	1.00	12.00
ENSRNOG00000005918_RGD1563941	379.00	935.00	403.00	398.00	293.00
ENSRNOG00000051873_AABR07012762.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055207_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043215_Rtbdn	2.00	0.00	2.00	0.00	5.00
ENSRNOG00000060714_AABR07007744.2	0.00	0.00	0.00	0.00	1.00
ENSRNOG00000023094_RGD1561661	0.00	0.00	3.00	0.00	0.00
ENSRNOG00000046347_Olr1370	0.00	2.00	0.00	1.00	3.00
ENSRNOG00000062136_AABR07006625.2	3.00	5.00	0.00	5.00	3.00
ENSRNOG00000020133_LOC108348044	0.00	0.00	4.36	0.00	0.00
ENSRNOG00000014713_Csgalnact2	615.94	184.00	208.92	128.26	495.85
ENSRNOG00000006804_Ppp1r42	8.00	8.00	12.00	10.00	1.00
ENSRNOG00000057250_AABR07001905.1	197.00	84.00	105.00	102.00	130.00
ENSRNOG00000051235_C2	48.00	3.00	134.89	63.76	19.00
ENSRNOG00000056705_Taar8b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050905_Olr1382	0.00	0.00	0.00	2.00	0.00
ENSRNOG00000031855_Actr3b	2.00	0.00	0.00	0.00	8.00
ENSRNOG00000029512_LOC100361854	170.00	702.00	216.00	150.00	236.00
ENSRNOG00000020726_Sipa1	31.00	13.00	39.00	38.00	49.00
ENSRNOG00000059168_LOC102550392	1.00	9.00	0.00	8.00	0.00
ENSRNOG00000032729_Bex2	217.00	427.00	45.00	97.00	104.12
ENSRNOG00000022364_Dsg4	0.00	26.00	0.00	10.00	14.00
ENSRNOG00000059783_AABR07049631.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007415_Ptgs1	4382.00	416.00	106.00	63.00	2533.00
ENSRNOG00000019000_Limk2	506.00	97.00	738.00	703.00	346.00
ENSRNOG00000033980_Wfdc11	2.00	13.00	0.00	0.00	4.00
ENSRNOG00000055840_AABR07063553.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055737	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050264_AABR07035357.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050494_LOC100910567	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010522_Tlr4	25.00	0.00	54.00	28.00	5.00
ENSRNOG00000052385_AABR07031247.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056762_AABR07016058.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049893_LOC100910934	0.00	2.70	0.00	0.00	6.74
ENSRNOG00000049058_AABR07003935.9	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000045980_Klk1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007597_Rhpn1	99.00	18.00	352.00	231.00	50.00
ENSRNOG00000014907_Aldh8a1	99.00	82.00	1580.00	1009.00	174.00
ENSRNOG00000062078_AABR07006625.1	0.00	2.00	0.00	0.00	6.00
ENSRNOG00000031739_Fam71e1	19.00	24.00	7.00	9.00	7.00
ENSRNOG00000056416_AABR07009910.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043293_Dppa1	0.00	1.00	0.00	1.00	1.00
ENSRNOG00000039640_Defb17	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015695_Sult5a1	19.00	34.00	17.00	2.00	10.00
ENSRNOG00000046577_AABR07002409.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014142_Ogfrl1	3.00	9.00	15.00	9.00	7.00
ENSRNOG00000035540_Mir106b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061392_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055197_AABR07027872.1	8.00	0.00	4.00	2.00	1.00
ENSRNOG00000004398_Pkhd1l1	4.00	0.00	1.00	1.00	2.00
ENSRNOG00000031823_Wfdc6b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005271_Rapgef5	592.00	99.00	107.00	55.00	319.00
ENSRNOG00000006997_App	36302.00	12868.00	10863.00	9543.00	19597.00
ENSRNOG00000004747_Slc30a8	0.00	0.00	1.00	2.00	0.00
ENSRNOG00000027264_Dagla	2.00	3.00	8.00	10.00	7.00
ENSRNOG00000017826_Mtrr	670.00	101.00	720.00	713.00	579.00
ENSRNOG00000050690_Nr2e3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042068_Otud7b	158.00	79.00	107.00	127.00	122.00
ENSRNOG00000059448_Vom1r84	0.00	0.00	0.00	0.00	1.00
ENSRNOG00000053767_AABR07008014.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004221_Lgr5	0.00	0.00	4.00	0.00	0.00
ENSRNOG00000017194_Prdx1	19295.62	36620.82	11621.46	11853.52	17461.91
ENSRNOG00000002833_Gsk3b	195.00	55.00	52.00	63.00	453.00
ENSRNOG00000016948_Nhlrc2	421.00	42.00	153.00	198.00	236.00
ENSRNOG00000020952_Cgn	656.00	106.00	715.00	551.00	435.00
ENSRNOG00000051579_AABR07070129.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057428_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009236_Necap1	1205.00	554.00	939.00	803.00	1216.00
ENSRNOG00000030363_Psma8	0.00	18.00	5.00	4.00	0.00
ENSRNOG00000002664_Emp2	11.00	9.00	211.00	129.00	20.00
