gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000056710_AABR07024381.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020374_Tmem8a	7.33	3.94	11.92	26.44	11.53
ENSRNOG00000058703_AABR07037176.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016818_Fgfr3	0.10	0.07	2.51	1.42	0.24
ENSRNOG00000051182_AABR07072158.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046401_AABR07065886.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018097_Emc1	5.15	2.04	7.98	5.91	4.87
ENSRNOG00000015708_E2f4	4.34	4.99	12.99	27.42	3.58
ENSRNOG00000057757_AABR07058501.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014829_Prmt3	2.11	1.25	3.12	6.03	1.17
ENSRNOG00000047324_LOC100912432	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054656_AABR07061458.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029726_Gstm1	178.74	119.47	88.65	86.87	103.60
ENSRNOG00000048407_LOC100912070	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000026754_Usp47	14.42	4.04	20.80	15.67	12.59
ENSRNOG00000020495_Eif3k	106.82	173.42	97.06	98.89	74.88
ENSRNOG00000046567_AABR07017676.1	0.00	0.00	0.00	0.97	0.00
ENSRNOG00000003846_Pitpna	8.68	31.77	53.94	120.48	7.64
ENSRNOG00000041381_Mir208b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049606_AABR07025900.1	0.34	0.00	0.00	0.58	0.37
ENSRNOG00000011517_Tnfrsf21	13.13	3.96	15.41	27.54	10.86
ENSRNOG00000012482_Ndrg4	36.16	0.07	1.30	1.32	17.85
ENSRNOG00000057900_U1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019807_Sufu	2.28	0.95	4.57	3.94	1.32
ENSRNOG00000052635_SNORA62	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029416_AC109942.1	3.00	0.08	2.01	0.89	0.93
ENSRNOG00000023317_Colgalt1	2.26	2.38	6.17	9.63	1.23
ENSRNOG00000036397_AABR07027722.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020110_B4gat1	13.08	4.31	33.61	31.25	9.64
ENSRNOG00000041199_Mir878	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012379_Wdr18	49.54	39.94	55.77	64.69	36.99
ENSRNOG00000008604_Nsfl1c	109.73	45.00	135.46	105.61	78.51
ENSRNOG00000040715_5S_rRNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012329_Saraf	57.33	60.42	292.18	290.28	42.88
ENSRNOG00000060153_Spry3	0.00	0.00	0.00	0.13	0.00
ENSRNOG00000004806_Strn	0.32	0.00	2.28	2.61	0.57
ENSRNOG00000061681_AABR07056526.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021910_Nkx2-6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000030191_Olr1055	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057620_Slc6a8	5.78	1.61	1.57	2.61	10.57
ENSRNOG00000055015_AABR07015559.1	0.00	0.00	0.00	0.11	0.04
ENSRNOG00000061915_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009735_Fibcd1	0.03	0.00	0.00	0.03	0.00
ENSRNOG00000035648_Mir211	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007332_Sstr3	0.02	0.14	0.00	0.05	0.00
ENSRNOG00000055774_AABR07040285.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020066_Pcdhb11	1.69	0.00	0.03	0.00	0.61
ENSRNOG00000030431_RT1-Db2	0.46	0.07	0.42	0.00	1.03
ENSRNOG00000015293_Tcte3	0.00	0.00	0.00	1.23	0.00
ENSRNOG00000010011_Osbpl3	7.35	0.72	3.77	4.06	9.66
ENSRNOG00000030091_Dusp14	41.07	16.51	33.02	19.12	56.00
ENSRNOG00000046260_LOC688320	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017621_Spns1	13.59	2.08	13.06	19.13	14.50
ENSRNOG00000022249_Mllt10	2.44	0.76	2.52	3.83	2.38
ENSRNOG00000000841_Ddx39b	50.98	23.68	63.76	73.70	41.01
ENSRNOG00000058588_Nfxl1	0.75	0.59	5.75	4.47	0.93
ENSRNOG00000013300_Atp5if1	1820.64	2576.71	1924.11	1596.65	1384.29
ENSRNOG00000019918_Coasy	36.64	7.42	30.26	32.56	34.73
ENSRNOG00000001862_Ube2l3	120.90	67.45	120.05	118.74	99.28
ENSRNOG00000017443_Tmem87b	17.43	7.07	29.43	23.19	18.75
ENSRNOG00000009870_Tmem88	4.12	2.97	2.98	3.02	8.03
ENSRNOG00000011856_LOC108348154	0.12	0.24	1.36	1.52	0.20
ENSRNOG00000005918_RGD1563941	19.81	31.41	17.13	15.38	16.52
ENSRNOG00000051873_AABR07012762.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055207_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043215_Rtbdn	0.00	0.00	0.09	0.27	0.08
ENSRNOG00000060714_AABR07007744.2	0.00	0.00	0.00	0.34	0.00
ENSRNOG00000023094_RGD1561661	0.00	0.00	0.00	0.00	0.09
ENSRNOG00000046347_Olr1370	0.10	0.13	0.00	0.31	0.00
ENSRNOG00000062136_AABR07006625.2	1.29	0.80	0.71	0.75	0.00
ENSRNOG00000020133_LOC108348044	0.00	0.00	0.00	0.00	0.10
ENSRNOG00000014713_Csgalnact2	2.28	2.24	9.93	9.43	3.06
ENSRNOG00000006804_Ppp1r42	0.82	0.44	0.60	0.09	0.81
ENSRNOG00000057250_AABR07001905.1	8.22	4.51	14.43	10.90	6.95
ENSRNOG00000051235_C2	1.65	0.05	1.13	0.53	2.88
ENSRNOG00000056705_Taar8b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050905_Olr1382	0.20	0.00	0.00	0.00	0.00
ENSRNOG00000031855_Actr3b	0.00	0.00	0.14	0.63	0.00
ENSRNOG00000029512_LOC100361854	180.36	460.24	189.90	215.79	206.26
ENSRNOG00000020726_Sipa1	0.72	0.17	0.53	0.99	0.61
ENSRNOG00000059168_LOC102550392	0.69	0.52	0.08	0.00	0.00
ENSRNOG00000032729_Bex2	13.42	38.28	27.30	14.60	5.09
ENSRNOG00000022364_Dsg4	0.21	0.37	0.00	0.32	0.00
ENSRNOG00000059783_AABR07049631.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007415_Ptgs1	1.50	6.76	94.66	64.37	2.08
ENSRNOG00000019000_Limk2	12.53	1.17	8.17	6.58	10.87
ENSRNOG00000033980_Wfdc11	0.00	0.59	0.12	0.28	0.00
ENSRNOG00000055840_AABR07063553.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055737	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050264_AABR07035357.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050494_LOC100910567	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010522_Tlr4	0.55	0.00	0.44	0.10	0.87
ENSRNOG00000052385_AABR07031247.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056762_AABR07016058.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049893_LOC100910934	0.00	0.12	0.00	0.46	0.00
ENSRNOG00000049058_AABR07003935.9	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000045980_Klk1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007597_Rhpn1	10.27	0.46	3.82	1.90	12.21
ENSRNOG00000014907_Aldh8a1	25.10	1.39	2.24	4.62	32.45
ENSRNOG00000062078_AABR07006625.1	0.00	0.42	0.00	1.94	0.00
ENSRNOG00000031739_Fam71e1	1.95	3.26	3.74	1.48	1.23
ENSRNOG00000056416_AABR07009910.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043293_Dppa1	0.11	0.07	0.00	0.11	0.00
ENSRNOG00000039640_Defb17	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015695_Sult5a1	0.14	1.59	1.20	0.73	0.97
ENSRNOG00000046577_AABR07002409.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014142_Ogfrl1	0.39	0.26	0.12	0.32	0.53
ENSRNOG00000035540_Mir106b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061392_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055197_AABR07027872.1	0.13	0.00	0.48	0.07	0.22
ENSRNOG00000004398_Pkhd1l1	0.00	0.00	0.02	0.01	0.00
ENSRNOG00000031823_Wfdc6b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005271_Rapgef5	0.63	0.78	6.17	3.94	1.02
ENSRNOG00000006997_App	200.01	170.25	699.35	431.17	185.18
ENSRNOG00000004747_Slc30a8	0.15	0.00	0.00	0.00	0.06
ENSRNOG00000027264_Dagla	0.11	0.02	0.02	0.08	0.07
ENSRNOG00000017826_Mtrr	20.87	2.01	17.80	18.04	17.38
ENSRNOG00000050690_Nr2e3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042068_Otud7b	1.65	0.56	1.81	1.45	0.98
ENSRNOG00000059448_Vom1r84	0.00	0.00	0.00	0.11	0.00
ENSRNOG00000053767_AABR07008014.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004221_Lgr5	0.00	0.00	0.00	0.00	0.07
