WaveLength	#38-1_T	#38-1_C	#38-10_T	#38-10_C	#38-11_T	#38-11_C	#38-12_T	#38-12_C	#38-13_T	#38-13_C	#38-14_T	#38-14_C	#38-15_T	#38-15_C	#38-16_T	#38-16_C	#38-17_T	#38-17_C	#38-18_T	#38-18_C	#38-19_T	#38-19_C	#38-2_T	#38-2_C	#38-20_T	#38-20_C	#38-21_T	#38-21_C	#38-22_T	#38-22_C	#38-23_T	#38-23_C	#38-24_T	#38-24_C	#38-25_T	#38-25_C	#38-26_T	#38-26_C	#38-27_T	#38-27_C	#38-28_T	#38-28_C	#38-29_T	#38-29_C	#38-3_T	#38-3_C	#38-30_T	#38-30_C	#38-4_T	#38-4_C	#38-5_T	#38-5_C	#38-6_T	#38-6_C	#38-7_T	#38-7_C	#38-8_T	#38-8_C	#38-9_T	#38-9_C
1500.708000	19.333851	5.227144	43.543577	48.085453	21.884892	23.765681	189.379458	212.072098	149.955855	95.392507	98.199991	120.019143	57.176406	59.885339	74.523461	40.128230	81.747631	70.856239	34.825453	66.179600	150.642588	200.112719	9.928455	16.274472	24.360216	50.196134	46.362461	46.870542	80.183303	69.244528	46.849501	48.263599	169.189536	141.205330	271.848637	225.661076	53.591623	62.684685	131.542649	135.749012	24.500533	13.921032	25.216956	25.216956	32.846935	33.364550	15.742977	15.742977	56.957599	47.085612	127.763914	155.183279	113.373601	141.741651	41.655062	83.906918	5.881421	39.110924	38.462142	68.252635
1501.840000	20.548992	4.561747	43.198138	45.354516	20.492582	23.076644	182.130396	204.518403	145.826524	94.880698	94.177829	112.882107	53.444780	58.733255	70.298342	34.022331	74.515736	67.433133	32.541674	63.747462	160.310420	211.669745	8.668893	14.343253	18.790914	41.943324	44.486118	43.919816	77.625703	65.497177	44.470264	45.301432	160.435771	137.087001	261.301280	220.436729	52.351291	60.053756	125.763644	131.489557	22.357033	12.145137	23.730126	23.730126	31.272239	31.388870	15.067587	15.067587	55.274839	45.566929	121.858232	144.550391	107.065436	131.851248	40.985564	80.758262	5.427981	38.498842	37.999067	68.113884
1502.972000	21.774995	4.176868	43.204559	42.796127	19.411393	22.523537	177.843475	196.438772	141.443270	94.546021	90.659745	105.955330	49.659521	57.705939	65.912200	28.408421	68.188888	64.034520	30.581408	61.741288	170.599830	223.666079	7.561557	12.478262	13.915911	34.049694	42.529717	40.769098	75.127349	61.401156	42.031370	42.168302	151.556174	132.669222	250.348032	215.283695	51.070986	56.870529	119.983670	127.714369	20.403745	10.448583	22.410962	22.410962	29.867540	29.427937	14.541872	14.541872	53.607428	44.671314	115.874433	133.379349	100.637595	121.387730	40.461044	77.637388	5.190228	38.074610	37.865135	68.111096
1504.104000	22.613146	4.020713	43.566416	40.446437	18.621801	22.211787	172.704254	188.057356	136.966360	94.455052	87.565805	99.352737	45.916657	56.841432	61.688126	23.310007	64.070021	60.666144	28.886783	59.914524	181.310561	235.956624	6.775001	10.778685	9.695554	26.600181	40.601780	37.609553	72.781289	57.166952	39.645998	39.088504	142.667929	128.081429	239.217608	210.191173	49.900749	52.069675	114.221901	124.277828	18.586220	8.887953	21.283776	21.283776	28.651106	27.510792	14.171155	14.171155	52.007003	44.010167	109.883158	121.956008	94.144603	110.603381	40.058319	74.702062	5.278499	37.781890	37.990284	68.244161
1505.236000	22.140749	4.078888	44.139154	38.332699	18.035233	22.392718	161.443288	179.525637	132.631951	94.729274	84.820173	92.954858	42.310201	56.079579	57.690477	18.724714	63.107247	57.459517	27.398725	58.221514	192.239555	248.440568	6.263373	9.208907	6.102403	19.595496	38.813796	34.616476	70.697896	52.936370	37.444901	36.088634	133.874136	123.430163	228.147289	205.158352	48.887571	48.476147	108.509305	121.396691	16.954766	7.466336	20.453116	20.453116	27.643874	25.832326	14.025441	14.025441	50.532188	43.535917	103.976324	110.570500	87.650820	99.734474	39.858908	72.111469	5.616120	37.599755	38.311524	68.534246
1506.368000	21.830615	4.270263	44.831042	36.424597	17.666565	22.812914	155.311825	170.959599	128.422699	95.232971	82.403644	86.754668	38.855671	55.350602	53.919792	14.590319	62.200004	54.421351	26.209205	56.852746	203.032485	260.642634	5.951690	7.813894	3.308533	13.369058	37.245258	31.764165	68.834965	48.824535	35.428983	33.186991	125.207462	118.843566	217.130105	200.119555	47.966162	45.877859	102.888720	118.739721	15.605390	6.202458	19.850257	19.850257	26.744503	24.243585	14.065434	14.065434	49.158578	43.216897	98.204721	99.400161	81.228918	88.950849	39.762620	69.817840	6.173701	37.465074	38.773603	68.927142
1507.500000	21.738378	4.538372	45.523980	34.627315	17.520695	23.379450	145.573021	162.463416	124.333080	95.785149	80.297634	80.909352	35.541968	54.635931	50.396314	10.942408	61.299445	51.307516	25.415699	56.050521	213.199563	271.945256	5.727530	6.657373	1.455278	8.471495	35.783224	29.042084	67.098897	44.893370	33.568783	30.405772	116.728212	114.171192	206.144718	194.976737	47.028254	42.449392	97.442585	116.146967	14.480041	5.093199	19.413994	19.413994	25.927459	22.828705	14.228622	14.228622	47.848705	43.030015	92.648468	88.683659	74.976615	78.428287	39.682312	67.736531	6.892952	37.429412	39.317219	69.360868
1508.632000	20.847859	4.849983	46.177390	32.894225	17.553212	24.047914	138.730495	154.048902	120.279032	96.283535	78.500445	75.758096	32.270996	53.918878	47.069865	7.975582	62.892342	48.430279	25.038603	56.044378	222.595564	282.094982	5.567445	5.724666	0.469183	5.133032	34.354025	26.399095	65.401659	41.061300	31.868258	27.713983	108.412492	109.107872	195.181536	189.709022	46.022037	40.152123	92.192110	113.259470	13.553655	4.146249	19.056436	19.056436	25.216604	21.545329	14.454043	14.454043	46.568487	42.987755	87.314550	78.442756	68.920661	68.191913	39.497514	65.796858	7.690185	37.404652	39.937792	69.806225
1509.764000	19.751456	5.187134	46.759446	31.207356	17.731851	24.757594	134.379413	145.678596	116.244886	96.324536	77.011847	71.196383	29.189767	53.056470	43.879613	5.666192	64.904453	46.115336	24.895913	56.767881	231.040433	290.811600	5.422786	4.963446	0.207553	3.554332	32.899184	23.795993	63.657397	37.295659	30.156985	24.982388	100.247745	103.675283	184.127837	184.282741	44.877154	37.217270	87.171626	110.520659	12.810315	3.348525	18.701929	18.701929	24.614693	20.324591	14.657701	14.657701	45.283242	43.032959	82.232283	68.705361	63.099177	58.255698	39.313053	63.899776	8.583295	37.333295	40.482975	70.250632
1510.896000	18.572424	5.504658	47.142065	29.531280	17.997741	25.443076	129.724530	137.372559	112.297812	96.430063	75.782406	67.359777	26.356130	52.054187	40.927678	3.789489	66.857436	44.070774	25.268756	58.490689	238.058549	297.486604	5.327576	4.379203	0.374598	3.053655	31.426802	21.305205	61.839373	33.762082	28.664899	22.433491	92.322730	97.896870	173.089629	178.616714	43.297019	35.001007	82.440560	107.869766	12.283259	2.775359	18.331147	18.331147	24.058610	19.241148	14.875945	14.875945	43.978457	43.102922	77.480425	59.795933	57.606016	48.895948	39.054563	62.093640	9.576234	37.185988	41.122286	70.646473
